CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;6;03/06/2025;JOSE VICENTE RODRIGUES E SILVA;10585;RURAL CINZA CHASSIS GALAO 3,6LT;1;348,9;348,9;0;;A PRAZO;NFDAV;HC CESAR;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;9;05/09/2025;VENDA CONSUMIDOR;8050;CIMENTADO E PISO CINZA CHUMBO;1;348,9;348,9;0;1;BANCO;CUPOM MANUAL;HC FRANCISCO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;9;08/09/2025;CLINICA INFANTIL;12289;CIMENTADO E PISO CINZA;1;348,9;348,9;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;9;11/09/2025;IT CENTER;12363;CIMENTADO E PISO CINZA CHUMBO;1;348,9;348,9;0;;A PRAZO;NFDAV;VENDEDOR PADRAO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;10;05/10/2025;VENDA CONSUMIDOR;9731;CIMENTADO E PISO AMARELO;1;348,9;348,9;0;1;CARTÃO;CUPOM MANUAL;HC CESAR;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;4;23/04/2025;LIDER ENGENHARIA;9758;TUBO ESGOTO 6M;6;58,1;348,6;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;5;28/05/2025;ECONOMICO LTDA;10450;TUBO ESGOTO 6M;6;58,1;348,6;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;10;17/10/2025;ESTALEIRO RIO MAGUARI;13143;TRINCHA MEDIA BRANCA CABO LR;67;5,2;348,4;0;;A PRAZO;NFDAV;HC RENATO;TINTA/IMPERM/COMPLEM;TRINCHA
;T CASA 01 - Matriz;2025;10;20/10/2025;VENDA CONSUMIDOR;10355;ASSENTO VALENTINA MADEIRA PINTADO;1;348,36;348,36;18,34;1;CARTÃO;CUPOM MANUAL;HC NAZARENO;COZINHA/BANHEIROS;ASSENTO
;T CASA 01 - Matriz;2025;5;30/05/2025;VENDA CONSUMIDOR;6534;TINTA EPOXI BASE AGUA BRANCO NEVE;2;174,105;348,21;13,11;2;CARTÃO;CUPOM MANUAL;HC MARINETE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;7;15/07/2025;LIDER ENGENHARIA;11348;TRINCHA MEDIA BRANCA CABO LR - 657 3;20;17,4;348;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TRINCHA
;T CASA 01 - Matriz;2025;10;15/10/2025;MARINHO CONSTRUCOES;13082;LAVATORIO SUSPENSO BRANCO - 1LAS151;3;115,9966667;347,99;6,1;;BANCO;NFDAV;HC RENATA;COZINHA/BANHEIROS;LAVATORIO
;T CASA 01 - Matriz;2025;10;07/10/2025;RAVENA INVEST;12899;IMPERMEABILIZANTE TELHA CERAMICA;1;347,9;347,9;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;IMPERMEABILIZANTE
;T CASA 01 - Matriz;2025;7;11/07/2025;CONSTRUTORA KARAJAS;11283;CIMENTADO E PISO CINZA;1;347,72;347,72;9,98;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;5;17/05/2025;BELEM HOTELARIA;10232;KIT CAIXA DESCARGA ACOPLADA;3;115,9;347,7;5,4;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;KIT CAIXA ACOPLADA
