CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;8;28/08/2025;CICLUS AMAZONIA S.A.;12140;CAL SUPERCAL - 5KG;8010;12,99;104049,9;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;9;30/09/2025;CICLUS AMAZONIA S.A.;12748;CAL SUPERCAL - 5KG;7332;12,99;95242,68;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;7;21/07/2025;CICLUS AMAZONIA S.A.;11456;CAL SUPERCAL - 5KG;7572;11,85;89728,2;0,65;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;6;26/06/2025;CICLUS AMAZONIA S.A.;11046;CAL SUPERCAL - 5KG;6294;11,85;74583,9;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;5;31/05/2025;ECONOMICO LTDA;10540;CIMENTCOLA FLEXIVEL AC3 BRANCO 20KG - 00;693;96,95;67186,35;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;CIMENTO COLA
;T CASA 01 - Matriz;2025;4;24/04/2025;ENGEKO ENGENHARIA E;9778;ARGAMASSA BRANCA ACIII;1379;48,47;66840,13;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;ARGAMASSA
;T CASA 01 - Matriz;2025;5;29/05/2025;CICLUS AMAZONIA S.A.;10483;CAL SUPERCAL - 5KG;6228;10,2;63525,6;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;4;29/04/2025;CICLUS AMAZONIA S.A.;9852;CAL SUPERCAL - 5KG;6000;10,2;61200;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;10;29/10/2025;TERRAPLENA;13352;TUBO ESGOTO 6M;200;249;49800;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;7;14/07/2025;CICLUS AMAZONIA S.A.;11324;TAMBOR PLASTICO VAZIO;100;492;49200;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;UD
;T CASA 01 - Matriz;2025;8;23/08/2025;PAULITEC CONSTRUCOES LTDA;12039;PISO TATIL ALERTA AZUL - 25X25;2090;22,3;46607;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;9;10/09/2025;PAULITEC CONSTRUCOES LTDA;12347;PISO CIMENTICIO TATIL DIRECIONAL AMARELO;3498;13;45474;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;8;28/08/2025;PAULITEC CONSTRUCOES LTDA;12144;FORMICA TX BCO;118;320,3;37795,4;0;;A PRAZO;NFDAV;HC CARLOS SILVA;DIVERSOS;CHAPA
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;VASSOURAO GARI 40CM;1500;24;36000;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;VASSOURA
;T CASA 01 - Matriz;2025;7;23/07/2025;ECONOMICO COMERCIO D;11496;DRYKOMANTA POLI ALUMINIO 3MM T2;45;785;35325;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;IMPERMEABILIZANTES
;T CASA 01 - Matriz;2025;5;31/05/2025;ECONOMICO LTDA;10540;ARGAMASSA CIMENTO COLA CINZA AC3 - 20KG;392;84,95;33300,4;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;ARGAMASSA
;T CASA 01 - Matriz;2025;8;23/08/2025;PAULITEC CONSTRUCOES LTDA;12039;PISO TATIL DIRECIONAL AMARELO 25X25 - 41;1276;22,3;28454,8;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;9;29/09/2025;CONSORCIO BRT CENTEN;12707;ESMALTE SECA RAPIDO VERDE FOLHA;240;114,5;27480;0;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;ESMALTE
;T CASA 01 - Matriz;2025;4;10/04/2025;CICLUS AMAZONIA S.A.;9552;CAL SUPERCAL - 5KG;2420;10,2;24684;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;4;15/04/2025;SMC ENGENHARIA;9648;SELADOR ACRILICO;220;109;23980;9,96;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;10;29/10/2025;NOVO NORTE AEROPORTO;13360;CIMENTO POTY TODAS AS OBRAS - 50 KG;300;75,99;22797;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CIMENTO
;T CASA 01 - Matriz;2025;11;05/11/2025;VILA GALE BRASIL - ATIVIDADES HOTELEIRAS LTDA;13474;TRANSFORMADOR 5000VA BIV;45;499,9;22495,5;0;;A PRAZO;NFDAV;HC ALLAN;ELETRICO/ILUMINACAO;TRANSFORMADOR
;T CASA 01 - Matriz;2025;8;28/08/2025;PAULITEC CONSTRUCOES LTDA;12133;PISO CIMENTICIO TATIL ALERTA AZUL;1670;13;21710;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;CARRO MAO PRETO 45L;100;212,6;21260;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;CARRO MAO
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;VASSOURA JARDIM 18 DENTES C CABO 1,20M;500;42,2;21100;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;VASSOURA
;T CASA 01 - Matriz;2025;7;29/07/2025;MAJONAVE;11596;TANQUE POLIETILENO;2;10430;20860;0;;A PRAZO;NFDAV;HC CARLOS SILVA;COZINHA/BANHEIROS;TANQUE
;T CASA 01 - Matriz;2025;10;02/10/2025;VILA GALE BRASIL - ATIVIDADES HOTELEIRAS LTDA;12796;PORCELANATO BIANCO PLUS POL 1,80M - 60X6;100,8;197,5;19908;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;PORCELANATO
;T CASA 01 - Matriz;2025;9;10/09/2025;PAULITEC CONSTRUCOES LTDA;12347;PISO CIMENTICIO TATIL ALERTA AZUL;1530;13;19890;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;9;04/09/2025;ENGEKO ENGENHARIA E;12251;DISPENSER PAPEL BOBINA AUTO-CORTE;36;548,9;19760,4;0;;A PRAZO;NFDAV;HC CARLOS SILVA;COZINHA/BANHEIROS;DISPENSER
;T CASA 01 - Matriz;2025;6;24/06/2025;CICLUS AMAZONIA S.A.;10995;TELA MOSQUETEIRO - VERDE 3,00MT;600;29,23;17538;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAGENS/FECHADURAS;TELA
;T CASA 01 - Matriz;2025;10;07/10/2025;SONHARE CONST E INCO;12915;ARGAMASSA CINZA S.PISO ACIII - 20KG;300;55,99;16797;2,61;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;9;25/09/2025;SONHARE CONST E INCO;12638;ARGAMASSA CINZA S.PISO ACIII - 20KG;300;55,2;16560;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;10;02/10/2025;VILA GALE BRASIL - ATIVIDADES HOTELEIRAS LTDA;12801;ENCERADEIRA INDUSTRIAL 410MM 127/220V -;2;8242;16484;0;;A PRAZO;NFDAV;HC ALLAN;UD/JARD/PRES/DECOR;ENCERADEIRA
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;TELA MOSQUETEIRO - VERDE 3,00MT;600;26;15600;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAGENS/FECHADURAS;TELA
;T CASA 01 - Matriz;2025;5;16/05/2025;PINHEIRO SERENI INCO;10203;CIMENTADO PISO CINZA ESCURO - 18L 2649;40;361,76;14470,4;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;6;06/06/2025;O S MULTISERVECE;10688;REVESTIMENTO CINZA BRILHANTE;89,28;159,3999776;14231,23;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;8;29/08/2025;ETERC;12155;CIMENTO NASSAU;200;70;14000;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CIMENTO
;T CASA 01 - Matriz;2025;10;07/10/2025;VILA GALE BRASIL - ATIVIDADES HOTELEIRAS LTDA;12934;PORCELANATO BIANCO PLUS POL 1,80M - 60X6;70,2;197,5;13864,5;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;PORCELANATO
;T CASA 01 - Matriz;2025;4;08/04/2025;CONSORCIO BOSQUE 25;0;GRAUTE 25 MPA;170;77;13090;0;;A PRAZO;;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;UD CASA
;T CASA 01 - Matriz;2025;8;19/08/2025;PAULITEC CONSTRUCOES LTDA;11936;CIMENTADO E PISO POUPE CONCRETO - 15L 30;50;259,99;12999,5;0;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;7;09/07/2025;LIDERANCA SERVICOS;11251;TELHA TRANSPARENTE PP 1,10X1,83 PF 177;60;205;12300;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;TELHA
;T CASA 01 - Matriz;2025;10;16/10/2025;TERRAPLENA;13110;RENOVE FOSCO BRANCO NEVE;45;267,5;12037,5;42,7;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;21/08/2025;LIDERANCA SERVICOS;11982;CABO FLEXIVEL 750V;1400;8,45;11830;0;;A PRAZO;NFDAV;HC VICENTE;ELETRICO/ILUMINACAO;CABO ELETRICO
;T CASA 01 - Matriz;2025;10;02/10/2025;TRANSAMERICA EXECUTIVE BELEM;12797;RESINA ACRILICA BRILHOSA;15;772,8853333;11593,28;99,82;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;RESINA ACRILICA
;T CASA 01 - Matriz;2025;5;28/05/2025;COND SHOPPING METROP;10442;LENCOL SINT. ACRIL./NITR 1/8 PRETO-NB522;10;1058;10580;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;LENCOL
;T CASA 01 - Matriz;2025;8;19/08/2025;LIDERANCA SERVICOS;11927;GAXETA ESPONJ. 1081-582 11/8X11/8;100;101,9;10190;0;;A PRAZO;NFDAV;HC VICENTE;FERRAGENS/FECHADURAS;ESPONJA
;T CASA 01 - Matriz;2025;8;29/08/2025;PARA 2000;12154;CIMENTADO E PISO CASTOR;30;329,9;9897;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;26/08/2025;ETERC;12084;TORNEIRA LAVATORIO MESA IMPERMATIC - 999;34;281,5;9571;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;TORNEIRA
;T CASA 01 - Matriz;2025;8;16/08/2025;LIDER ENGENHARIA;11899;MANTA LIQUIDA BRANCA - 18KG 031113023405;20;465,164;9303,28;0,74;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;MANTA
;T CASA 01 - Matriz;2025;4;24/04/2025;LIDER ENGENHARIA;9784;MANTA LIQUIDA BRANCA - 18KG 031113023405;20;460,4;9208;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;MANTA
;T CASA 01 - Matriz;2025;7;28/07/2025;LIDER ENGENHARIA;11583;MANTA LIQUIDA BRANCA - 18KG 031113023405;20;459,143;9182,86;1,26;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;MANTA
;T CASA 01 - Matriz;2025;6;24/06/2025;CICLUS AMAZONIA S.A.;10995;CARRO MAO EXTRA FORTE METAL 65L - 777144;15;598,9;8983,5;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;CARRO MAO
;T CASA 01 - Matriz;2025;10;22/10/2025;SONHARE CONST E INCO;13217;ARGAMASSA CINZA S.PISO ACIII - 20KG;150;58,6;8790;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;7;09/07/2025;LIDERANCA SERVICOS;11250;MANGUEIRA LAVA AUTO AZUL 1/2 1200 PSI NA;150;56,9;8535;0;;A PRAZO;NFDAV;HC VICENTE;COZINHA/BANHEIROS;MANGUEIRA
;T CASA 01 - Matriz;2025;4;15/04/2025;PINHEIRO SERENI INCO;9644;TELHA ONDULADA;30;278;8340;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;TELHA
;T CASA 01 - Matriz;2025;6;11/06/2025;OCC CONSTRUCOES E PA;10761;ACRILICO FOSCO POP CONCRETO;30;274,99;8249,7;21,51;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TEXTURA ACRILICA
;T CASA 01 - Matriz;2025;5;28/05/2025;MARIUA CONSTRUCOES L;10449;TUBO ESGOTO 6M;9;914,5;8230,5;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;9;24/09/2025;PINHEIRO SERENI ENGENHARIA;12599;VERTEX AC.SB PEROLA;15;547,9;8218,5;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;10;30/10/2025;COLEGIO NAZARE;13384;PAINEL LED SOBREPOR QUAD 36W 6500K;43;190,99;8212,57;0;;A PRAZO;NFDAV;HC ALLAN;ELETRICO/ILUMINACAO;PAINEL
;T CASA 01 - Matriz;2025;5;17/05/2025;PINHEIRO SERENI INCO;10221;RENOVE SB PEROLA;20;410,11;8202,2;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;28/08/2025;PAULITEC CONSTRUCOES LTDA;12133;PISO CIMENTICIO TATIL DIRECIONAL AMARELO;620;13;8060;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;5;09/05/2025;CICLUS AMAZONIA S.A.;10060;ENXADA LARGA 2.5L C CABO 130CM;102;77,5;7905;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;ENXADA
;T CASA 01 - Matriz;2025;4;25/04/2025;PINHEIRO SERENI INCO;9819;TELHA ONDINA;180;43,9;7902;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;TELHA
;T CASA 01 - Matriz;2025;4;11/04/2025;MARIUA CONSTRUCOES L;9572;ARGAMASSA AUTONIVELAMENTO 20KG;85;92,6;7871;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;8;16/08/2025;LIDER ENGENHARIA;11899;SALVA PISO TRADICIONAL - 100X25M;15;517,0813333;7756,22;0,82;;A PRAZO;NFDAV;HC ALLAN;FERRAGENS/FECHADURAS;UD CASA
;T CASA 01 - Matriz;2025;9;25/09/2025;GRUPO 1 COMUNICACAO E INFRAESTRUTURA LTDA;12631;LONA PLASTICA PRETA 4X110M;1100;6,97;7667;0,53;;BANCO;NFDAV;HC MILTON;BASICO/HIDRAULICA;LONA
;T CASA 01 - Matriz;2025;10;22/10/2025;SONHARE CONST E INCO;13217;CIMENTO POTY TODAS AS OBRAS - 50 KG;100;75,99;7599;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CIMENTO
;T CASA 01 - Matriz;2025;9;12/09/2025;ETERC;12380;CIMENTO POTY TODAS AS OBRAS - 50 KG;100;75;7500;0,99;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CIMENTO
;T CASA 01 - Matriz;2025;7;14/07/2025;LIDERANCA SERVICOS;11317;PAINEL CEL/DUR BR 1200X2110X35MM;19;392,6;7459,4;0;;A PRAZO;NFDAV;HC VICENTE;DIVERSOS;DIVERSOS
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;PA QUADRADA 71CM;120;61,7;7404;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;FERRAMENTA
;T CASA 01 - Matriz;2025;10;14/10/2025;CONSORCIO TL 01/2025;13064;TELHA ONDULADA BR - 183X110X6MM - 220161;40;184,9;7396;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;TELHA
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;ENXADA ESTREITA 2.5L C CABO 150CM;100;73,2;7320;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;ENXADA
;T CASA 01 - Matriz;2025;5;30/05/2025;CICLUS AMAZONIA S.A.;10529;LIXADEDIRA POLITRIZ ROTORBITAL 1500MM 12;2;3519,83;7039,66;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;LIXADEIRA
;T CASA 01 - Matriz;2025;9;30/09/2025;GREENVILLE II;12741;CIMENTADO E PISO BRANCO;20;349;6980;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;9;12/09/2025;ECONOMICO COMERCIO D;12394;ESMALTE ALTO BRILHO PRETO 18LT - 0883;10;676,8;6768;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;ESMALTE
;T CASA 01 - Matriz;2025;7;23/07/2025;LIDER ENGENHARIA;11497;FITA ANTIDERRAPANTE PRETA 50X20M;25;266,99;6674,75;0;;A PRAZO;NFDAV;HC ALLAN;FERRAMENTA/MAQU/EPI;FITA ANTIDERRAPANTE
;T CASA 01 - Matriz;2025;10;14/10/2025;CONSORCIO TL 01/2025;13065;TELHA ONDULADA BR - 183X110X6MM - 220161;36;184,9;6656,4;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;TELHA
;T CASA 01 - Matriz;2025;10;29/10/2025;MARIUA CONSTRUCOES L;13353;ACABAMENTO REGISTRO GAVETA - 4900 C35 1/;46;144,2;6633,2;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;ACABAMENTO REGISTRO
;T CASA 01 - Matriz;2025;7;25/07/2025;VILA GALE BRASIL;11534;CARRO PLATAFORMA CHAPA MADEIRA 600KG;2;3315,9;6631,8;0;;A PRAZO;NFDAV;HC ALLAN;FERRAGENS/FECHADURAS;CARRO MAO
;T CASA 01 - Matriz;2025;10;24/10/2025;MARINHO CONSTRUCOES;13273;BACIA CAIXA ACOPLADA IRIS BR;15;437,1126667;6556,69;12,69;;A PRAZO;NFDAV;HC CARLOS SILVA;COZINHA/BANHEIROS;BACIA SANITARIA
;T CASA 01 - Matriz;2025;5;08/05/2025;ECONOMICO LTDA;10024;CORDA POLIAMIDA TRANSP NR 18 QUEDA 12MM;750;8,7;6525;0,7;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CORDA
;T CASA 01 - Matriz;2025;7;23/07/2025;LIDER ENGENHARIA;11497;SIKADUR 32 - 517132;30;217,1;6513;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;IMPERMEABILIZANTES
;T CASA 01 - Matriz;2025;9;08/09/2025;PINHEIRO SERENI ENGENHARIA;12288;CIMENTADO E PISO CINZA MEDIO;20;325,5015;6510,03;32,2;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;5;07/05/2025;PINHEIRO SERENI INCO;10011;FECHADURA EXTERNA ITALY CLASS CROMADA;65;98,2;6383;0;;A PRAZO;NFDAV;HC VICENTE;FERRAGENS/FECHADURAS;FECHADURA
;T CASA 01 - Matriz;2025;4;30/04/2025;ESTACAO DAS DOCAS;9903;CIMENTADO E PISO CASTOR;20;318,3;6366;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;5;17/05/2025;PINHEIRO SERENI INCO;10221;RENOVE FOSCO BRANCO NEVE;20;315,8;6316;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;14/08/2025;PINHEIRO SERENI ENGENHARIA;11869;MANTA PLASTIC TERMICA 1 FACE 1.20 X 50MT;15;418;6270;0;;A PRAZO;NFDAV;HC VICENTE;QUIMICOS/ADESIVOS;MANTA
;T CASA 01 - Matriz;2025;7;30/07/2025;LIDER ENGENHARIA;11605;ARG SUPER FORM 20KG BRANCA;30;204,99;6149,7;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;8;11/08/2025;ENGEKO ENGENHARIA E;11796;ACAB P/REG DECA 4900.C26.PQ LEVEL CR 1/2;21;286;6006;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;ACABAMENTO REGISTRO
;T CASA 01 - Matriz;2025;7;10/07/2025;LIDER ENGENHARIA;11265;LONA PLASTICA PRETA 4X100 - 30KG;770;7,7;5929;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;LONA
;T CASA 01 - Matriz;2025;4;10/04/2025;CICLUS AMAZONIA S.A.;9552;CAL SUPERCAL;580;10,2;5916;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;5;14/05/2025;ENGEKO ENGENHARIA E;10148;PINTA PISO CINZA MEDIO;10;589;5890;0;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;5;16/05/2025;ENGEKO ENGENHARIA E;10209;PINTA PISO CINZA MEDIO;10;589;5890;0;;A PRAZO;NFDAV;HC CARLOS SILVA;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;6;24/06/2025;CICLUS AMAZONIA S.A.;10995;VASSOURA METALICA REGULAVEL C 22 DENTES;100;58,25;5825;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;VASSOURA
;T CASA 01 - Matriz;2025;7;08/07/2025;PINHEIRO SERENI INCO;11205;ACRILICO FOSCO POP CAFE;20;290,0645;5801,29;6,44;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TEXTURA ACRILICA
;T CASA 01 - Matriz;2025;4;11/04/2025;COLEGIO NAZARE;9576;ESPREGUICADEIRA LEBLON BRANCA;8;715,9;5727,2;0;;A PRAZO;NFDAV;HC ALLAN;MOVEIS/GABINETE/TOUC;ESPREGUICADEIRA
;T CASA 01 - Matriz;2025;5;28/05/2025;MARIUA CONSTRUCOES L;10449;TUBO ESGOTO LEVE;4;1426,29;5705,16;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;9;26/09/2025;PAULITEC CONSTRUCOES LTDA;12673;KIT CAIXILHO ALISAR HDF BRANCO 12 A 15CM;10;568,4;5684;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PORTAS/ESQUAD/JANELA;CAIXILHO
;T CASA 01 - Matriz;2025;9;30/09/2025;PARA 2000;12726;VERNIZ TRIPLO FILTRO SOLAR NATURAL - 3L;30;188,9;5667;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;VERNIZ
;T CASA 01 - Matriz;2025;8;07/08/2025;ETERC;11739;CIMENTO NASSAU;80;70;5600;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CIMENTO
;T CASA 01 - Matriz;2025;5;10/05/2025;LIDER ENGENHARIA;10072;ARG SUPER FORM 20KG BRANCA;30;184,99;5549,7;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;4;15/04/2025;LIDER ENGENHARIA;9649;ARG SUPER FORM 20KG BRANCA;30;181,99;5459,7;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;6;05/06/2025;PEC ENGENHARIA;10666;REJUNTE PISCINA AZUL ROYAL;17;319,9;5438,3;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;REJUNTE
;T CASA 01 - Matriz;2025;8;25/08/2025;ETERC;12049;HELANCA LIGHT BRANCO;77,19;67,89998704;5241,2;0;;A PRAZO;NFDAV;HC ALLAN;UD/JARD/PRES/DECOR;UD CASA
;T CASA 01 - Matriz;2025;5;13/05/2025;PINHEIRO SERENI INCO;10099;FORRO PVC BRANCO NEVE;192;26,99;5182,08;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;FORRO TERMICO
;T CASA 01 - Matriz;2025;7;28/07/2025;LIDER ENGENHARIA;11583;ARGAMASSA CINZA S.PISO ACIII - 20KG;100;51,1599;5115,99;0,14;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;ARGAMASSA
;T CASA 01 - Matriz;2025;9;23/09/2025;LIDERANCA SERVICOS;12579;"RODIZIO GT LEVE 8"" 3579538700*";10;509,99;5099,9;0;;A PRAZO;NFDAV;HC VICENTE;UD/JARD/PRES/DECOR;RODIZIO
;T CASA 01 - Matriz;2025;7;05/07/2025;LIDER ENGENHARIA;11184;RODAPE FRISO 10CM;34;149,9;5096,6;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;RODAPE
;T CASA 01 - Matriz;2025;9;17/09/2025;PAULO BRIGIDO ENGENH;12465;CIMENTADO E PISO CINZA;15;336,464;5046,96;12,54;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;9;05/09/2025;VILA GALE BRASIL;12267;BOMBA SUBMERSIVEL - WMSE1.5H 2.10CV 220W;1;4975,99;4975,99;0;;A PRAZO;NFDAV;VENDEDOR PADRAO;BASICO/HIDRAULICA;BOMBA
